model,location,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,r_wis,improvement,percent
COVID-19_forecast_model,Alabama,39.692368421052635,15.891616541353383,8.687969924812032,15.112781954887222,-0.0025563909774435636,0.2593984962406015,70.49248120300749,0.46240601503759404,0.9736842105263157,0.5338631477266378,46.61368522733622,0.4661368522733622
COVID-19_forecast_model,Alaska,5.706015037593985,2.981203007518797,1.0045112781954892,1.7203007518796989,0.07338345864661652,0.149436090225564,9.368421052631577,0.639097744360902,0.9887218045112782,0.8394664250395913,16.053357496040867,0.16053357496040868
COVID-19_forecast_model,Arizona,69.14545112781956,21.414624060150373,15.610526315789482,32.12030075187969,-0.028872180451127653,0.15093984962406068,118.67669172932341,0.4511278195488719,0.9210526315789477,0.7297486678994783,27.025133210052164,0.27025133210052166
COVID-19_forecast_model,Arkansas,23.356917293233085,8.880977443609023,3.2894736842105283,11.18646616541353,-0.014586466165413443,0.23834586466165414,40.54511278195487,0.4774436090225566,0.9285714285714285,0.5123103551929118,48.76896448070882,0.48768964480708815
COVID-19_forecast_model,California,256.12740601503754,121.22890977443609,54.661654135338296,80.23684210526314,0.09969924812030084,0.22631578947368425,426.21428571428555,0.7142857142857142,0.9849624060150376,0.5717695107566274,42.82304892433726,0.4282304892433726
COVID-19_forecast_model,Colorado,56.13398496240602,15.842255639097743,12.209774436090227,28.081954887218032,-0.06571428571428563,0.1691729323308272,96.20300751879715,0.4022556390977444,0.8834586466165415,0.8509321171551244,14.90678828448756,0.1490678828448756
COVID-19_forecast_model,Connecticut,30.621541353383456,17.06966165413534,5.167669172932327,8.38421052631579,0.06736842105263158,0.2060150375939848,50.045112781954934,0.6203007518796992,0.9962406015037594,0.5068879136162769,49.31120863837231,0.49311208638372306
COVID-19_forecast_model,Delaware,10.6446992481203,4.259736842105263,2.90827067669173,3.4766917293233086,-0.013082706766917297,0.17274436090225567,18.360902255639104,0.4586466165413534,0.9511278195488723,0.636562256629165,36.3437743370835,0.363437743370835
COVID-19_forecast_model,District of Columbia,8.763157894736842,4.209022556390978,1.5646616541353386,2.989473684210527,0.03954887218045112,0.19417293233082708,14.552631578947366,0.5751879699248119,0.9624060150375939,0.5309340036926724,46.90659963073276,0.4690659963073276
COVID-19_forecast_model,Florida,161.10838345864664,82.52492481203008,17.78872180451128,60.79473684210528,0.056090225563909794,0.26221804511278207,274.6390977443611,0.5902255639097743,1,0.470202899515017,52.979710048498305,0.5297971004849831
COVID-19_forecast_model,Georgia,78.30992481203008,29.479849624060147,14.42781954887218,34.40225563909774,-0.030375939849624018,0.29417293233082703,139.44360902255642,0.41353383458646614,0.9586466165413535,0.5262516665972771,47.374833340272296,0.473748333402723
COVID-19_forecast_model,Hawaii,13.565563909774436,8.30390977443609,3.11203007518797,2.149624060150377,0.138796992481203,-0.06372180451127817,19.812030075187963,0.7857142857142857,1,1.002497551943523,-0.24975519435230797,-0.0024975519435230797
COVID-19_forecast_model,Idaho,14.79954887218045,5.185263157894737,3.337593984962404,6.276691729323305,-0.025864661654135295,0.2092105263157894,25.109022556390975,0.47368421052631593,0.906015037593985,0.7554024875236038,24.459751247639616,0.24459751247639616
COVID-19_forecast_model,Illinois,111.9196992481203,42.73097744360902,20.915789473684214,48.27293233082708,-0.010075187969924761,0.18308270676691715,192.0112781954888,0.48120300751879697,0.9398496240601504,0.6561872919548405,34.38127080451595,0.3438127080451595
COVID-19_forecast_model,Indiana,60.25240601503759,21.372706766917293,9.828571428571431,29.05112781954888,-0.0190977443609022,0.2475563909774436,103.51127819548876,0.4962406015037595,0.906015037593985,0.6616016988356519,33.83983011643481,0.3383983011643481
COVID-19_forecast_model,Iowa,30.092067669172934,9.160488721804512,6.525563909774429,14.406015037593985,-0.0807518796992481,0.3135338345864662,50.94360902255639,0.39097744360902237,0.8496240601503761,0.761753817591278,23.824618240872198,0.23824618240872197
